preset,delta_omega_tri,k_strong,k_weak,n_runs,r_mean,r_sd,plv_pairmean_mean,plv_pairmean_sd,coalition_mean,coalition_sd,leader_dom_mean,leader_dom_sd,leader_antiphase_dom_mean,leader_antiphase_dom_sd
coalition_01,0.2,-1.2,-0.2,5,0.2033870695569401,0.023519728357919982,0.9999961154991419,8.518472504250255e-06,6.148275451067775e-06,1.3495310779228278e-05,2.3654076397150446e-06,5.165572010581511e-06,0.3560165232607444,0.20642201814728586
coalition_01,0.2,-1.2,-0.1,5,0.23953775540287386,0.021862461895604996,0.9999965503600231,4.16635287394509e-06,5.385528251511396e-06,6.5471671234742775e-06,2.2411762733209883e-06,2.6282962165813875e-06,0.15912097410655018,0.42947609196250064
coalition_01,0.2,-1.2,0.0,5,0.2978515571289386,0.05398482984144497,0.9999999999998517,5.4248370171552873e-14,7.801981283250825e-13,3.149523542126765e-13,3.273825655014662e-13,3.162953245476649e-13,-0.1889542597717409,0.8906122559590939
coalition_01,0.2,-1.2,0.1,5,0.3336022430281507,0.06390843257467958,0.9999908863207299,7.066258786358894e-06,1.4602520546969089e-05,1.1416673778618358e-05,8.015917051662491e-06,6.880092787234624e-06,-0.24890125576856398,1.474763659678904
coalition_01,0.2,-1.2,0.2,5,0.34064565524164764,0.07489332094611535,0.9999803957190654,2.633899777342418e-05,3.2759387453840105e-05,4.4430151694520755e-05,2.0242106110646142e-05,2.9162422207318264e-05,-0.0892384961574959,1.261187887321163
coalition_01,0.6,-1.2,-0.2,5,0.015628672648221383,2.728518014974987e-07,0.9999999999996871,4.437912613488236e-13,5.235811784132238e-13,6.563277764303348e-13,1.9506618542664e-13,3.8689745622296375e-13,-0.04092904586966424,2.58320192528249e-05
coalition_01,0.6,-1.2,-0.1,5,0.023705092088182594,0.0005498879254884597,0.9999999912569836,8.25307494871959e-09,1.3130237741521e-08,1.2398253439853169e-08,6.56180692004682e-09,6.2113944428953045e-09,0.05855221285196479,0.010068026864492886
coalition_01,0.6,-1.2,0.0,5,0.22136374199426903,0.0757893491429796,1.0000000000001459,2.194485208671622e-13,6.844746991419015e-13,2.415493152563613e-13,-4.867217739956686e-14,6.346538701036147e-13,-0.10754016394622637,1.2506185617632672
coalition_01,0.6,-1.2,0.1,5,0.640703429111173,0.002363947771534113,0.9999990945105133,7.586629963289457e-07,1.3737405693881043e-06,1.1547052579202486e-06,6.803244071429404e-07,5.760263076631471e-07,0.5363192658708753,0.1027241079882866
coalition_01,0.6,-1.2,0.2,5,0.682293732388867,1.1086038481415382e-06,0.9999999999494928,3.912102357903335e-11,7.582070526979123e-11,5.869234773819976e-11,3.790512348444963e-11,2.9349048800618797e-11,0.5099736404062789,0.0003410690939905544
coalition_01,1.0,-1.2,-0.2,5,0.5677174775011155,0.003583261339912054,0.9951250101609732,0.0006487549755752252,0.00776987593139693,0.0013073032907357331,-0.002834076230407545,0.005403430759061598,0.1356847931278145,1.6349612260721633
coalition_01,1.0,-1.2,-0.1,5,0.5282013906321964,0.02432893020520237,0.888505688474714,0.0622357629053047,0.16426344607580973,0.09191813491055895,-0.0775319499933909,0.040206611474930085,0.6508573084432877,1.3741986762636909
coalition_01,1.0,-1.2,0.0,5,0.4792994429872741,0.03542798182726543,0.9846651286274616,0.010814739329894745,0.022830392024325664,0.0159709054482743,-0.011415196012256957,0.007985452724168151,0.8274253302513574,1.2173144095506074
coalition_01,1.0,-1.2,0.1,5,0.5360535421906283,0.027792145546904283,0.8596314762511179,0.048688618719170185,0.21533572988885483,0.07008573698924073,-0.09085942107799198,0.016477709970842646,-0.15010784466373,0.6686125552311685
coalition_01,1.0,-1.2,0.2,5,0.5254614930711217,0.000979285192308066,0.9866032930910146,0.006971209029216814,0.022259474580722593,0.010800962666836132,-0.008192937327042604,0.01107466408464624,-0.10521403516445216,1.6649084486213115
coalition_01,1.2,-1.2,-0.2,5,0.5647215305731271,0.004343541059845351,0.9566898418173654,0.031395870578418424,0.06780508291790324,0.04319643922259926,-0.034732636732672864,0.02405620109226945,0.08081439651423072,1.9701381390698185
coalition_01,1.2,-1.2,-0.1,5,0.5321690801803693,0.02611347886169692,0.9592561735113367,0.02622805036913819,0.06510744245567415,0.03854832926431957,-0.032257529481111644,0.02445669874361275,-0.7579736229205054,0.8632646535215344
coalition_01,1.2,-1.2,0.0,5,0.5085536544377268,0.032465725105490305,0.9287275019836045,0.03881450926837185,0.10344730656525536,0.05457774095414674,-0.05172365328282946,0.02728887047712933,-0.8953619062830616,0.5230765001159772
coalition_01,1.2,-1.2,0.1,5,0.5231646145920499,0.027678548995472237,0.9815962971452794,0.005097536009570176,0.03088289749427009,0.007947966159534341,-0.010731982269076745,0.006742739790658459,-0.6238558540680039,1.0439095329661066
coalition_01,1.2,-1.2,0.2,5,0.5513463534933928,0.003962627545715067,0.9204893091187385,0.05430620122148789,0.11887832355232004,0.07807484677270343,-0.05237335223479496,0.03360513000938815,0.19286916680408792,1.620706538454615
