k,delta_omega,seed,dt,t_max,plv_window_seconds,r_mean_last,plv_mean_last,anti_mean_last,omega_0,omega_1
0.0,0.4,5,0.01,120.0,2.0,0.5874517737922635,0.9735465048026218,0.5419564044150403,1.5405282184338807,1.1405282184338807
0.0,0.6,1,0.01,120.0,2.0,0.6721810666356209,0.9410722005993869,0.4655591462083264,1.8875401751674459,1.2875401751674458
0.0,0.6,2,0.01,120.0,2.0,0.6019838017055201,0.9410722005993869,0.5224192101132829,1.7749728705234589,1.1749728705234588
0.0,0.6,3,0.01,120.0,2.0,0.6261570320064193,0.9410722005995922,0.4953113548356611,1.7613940567553252,1.1613940567553251
0.0,0.6,4,0.01,120.0,2.0,0.5985195484260564,0.9410722005993867,0.5287373631007515,1.73801186662969,1.13801186662969
0.0,0.6,5,0.01,120.0,2.0,0.6254599819281983,0.9410722005993869,0.4958975111082527,1.6405282184338807,1.0405282184338807
0.0,0.8,1,0.01,120.0,2.0,0.6419389166188424,0.8966975048158289,0.510319371599431,1.987540175167446,1.1875401751674457
0.0,0.8,2,0.01,120.0,2.0,0.650742442415513,0.8966975048155922,0.4750962191411601,1.8749728705234587,1.074972870523459
0.0,0.8,3,0.01,120.0,2.0,0.6648080601723481,0.8966975048159473,0.47321302474978283,1.861394056755325,1.0613940567553253
0.0,0.8,4,0.01,120.0,2.0,0.6423372216026064,0.8966975048155923,0.47899058661343413,1.83801186662969,1.0380118666296898
0.0,0.8,5,0.01,120.0,2.0,0.6646844832454885,0.8966975048155921,0.47310964202495004,1.7405282184338806,0.9405282184338807
