seed,n_students,dt,t_max,plv_window_seconds,k_ts,k_st,k_ss,r_mean_last,ts_plv_mean_last,ss_plv_mean_last,teacher_dominance_last,ts_distpi_mean_last,ss_distpi_mean_last,teacher_antiphase_dom_last
3,10,0.01,120.0,2.0,-1.0,-0.4,-0.2,0.1501288411265662,0.9742928552209447,0.9829560293650558,-0.008663174144111108,1.4556942983309227,1.442845658771585,-0.012848639559337682
4,10,0.01,120.0,2.0,-1.0,-0.4,-0.2,0.18352859531796248,0.9966412699553902,0.9930033398703362,0.0036379300850539753,1.3823923585178437,1.4846571143255134,0.1022647558076697
5,10,0.01,120.0,2.0,-1.0,-0.4,-0.2,0.1986385499167583,0.9939627867330605,0.9939400050755943,2.278165746616434e-05,1.26262462979962,1.5457567097045857,0.2831320799049657
1,10,0.01,120.0,2.0,-1.0,-0.4,0.0,0.5220182595816418,0.9991457323402047,0.9983380335645047,0.0008076987756999721,0.5653063287683154,2.189534563644445,1.6242282348761297
2,10,0.01,120.0,2.0,-1.0,-0.4,0.0,0.2865436943096871,0.9931125309990355,0.9853423120500269,0.007770218949008645,1.1535138643121927,1.6430287366627345,0.4895148723505418
3,10,0.01,120.0,2.0,-1.0,-0.4,0.0,0.32733056715830855,0.9879010957363141,0.9803412784915123,0.007559817244801814,1.9211506727243375,1.8602631874563036,-0.06088748526803389
4,10,0.01,120.0,2.0,-1.0,-0.4,0.0,0.37729970708052424,0.9954633101767486,0.9899612091490005,0.005502101027748063,0.8283369848734278,1.9320791240110917,1.103742139137664
5,10,0.01,120.0,2.0,-1.0,-0.4,0.0,0.31009974043644256,0.9963740625797154,0.9953712309721136,0.0010028316076018395,1.2418996338865909,1.5528156836316145,0.3109160497450236
1,10,0.01,120.0,2.0,-1.0,-0.2,-0.2,0.230175509407709,0.9989108004184203,0.9975844713341888,0.0013263290842314701,1.149246952863495,1.5838054231300536,0.4345584702665586
2,10,0.01,120.0,2.0,-1.0,-0.2,-0.2,0.13746490214373533,0.9964846046456983,0.9922188697998352,0.004265734845863123,1.526190950326363,1.4280410851857472,-0.09814986514061586
3,10,0.01,120.0,2.0,-1.0,-0.2,-0.2,0.17961967936332074,0.9751317407333439,0.9762939570023682,-0.001162216269024352,1.7473621690258707,1.5385820686970049,-0.20878010032886585
4,10,0.01,120.0,2.0,-1.0,-0.2,-0.2,0.1325559565190422,0.9956092422940752,0.9925348013069016,0.0030744409871735767,1.131361910955506,1.6243312184577658,0.49296930750225987
5,10,0.01,120.0,2.0,-1.0,-0.2,-0.2,0.18918112253512379,0.9950500239604556,0.9934025748696399,0.0016474490908157113,1.1290787975906107,1.6101695624588352,0.48109076486822455
1,10,0.01,120.0,2.0,-1.0,-0.2,0.0,0.5286223269340327,0.9990083179813602,0.9980733340085006,0.0009349839728596265,0.5398926339545763,2.272272911210041,1.7323802772554644
2,10,0.01,120.0,2.0,-1.0,-0.2,0.0,0.23351032555355167,0.9971039187870228,0.9941414685782254,0.0029624502087973736,1.3315383553623317,1.533697963899562,0.20215960853723036
3,10,0.01,120.0,2.0,-1.0,-0.2,0.0,0.22221988292686834,0.9831458605868997,0.9817445677590779,0.001401292827821754,1.3618425364480626,1.7962168989390646,0.4343743624910019
